CourseCode,CourseName
APSC 200,Engineering Design and Practice II
APSC 293,Engineering Communications
MTHE 217,Algebraic Structures with Applications
MTHE 237,Differential Equations and Computer Methods
MTHE 280,Advanced Calculus
MTHE 281,Introduction to Real Analysis
MTHE 212,Linear Algebra
MTHE 326,Functions of a Complex Variable
MTHE 332,Introduction to Control
MTHE 334,Mathematical Methods for Engineering and Physics
MTHE 335,Mathematics of Engineering Systems
MTHE 393,Engineering Design and Practice for Mathematics and Engineering
APSC 221,Economics and Business Practices in Engineering
MTHE 494,Mathematics and Engineering Seminar
MTHE 493,Engineering Mathematics Project
ELEC 221,Electric Circuits
ELEC 271,Digital Systems
ELEC 293,Electrical and Computer Engineering Laboratory I
ENPH 225,Mechanics
ELEC 252,Electronics I
ELEC 274,Computer Architecture
ELEC 294,Electrical and Computer Engineering Laboratory II
MTHE 351,Probability I
ELEC 278,Fundamentals of Information Structures
ELEC 371,Microprocessor Interfacing and Embedded Systems
ENPH 239,Electricity and Magnetism
MTHE 353,Probability II
MTHE 430,Modern Control Theory
MTHE 472,Control of Stochastic Systems
MTHE 474,Information Theory
MTHE 406,Introduction to Coding Theory
MTHE 434,Optimization Theory and Application
MTHE 439,"Lagrangian Mechanics, Dynamics, and Control"
MTHE 477,Data Compression and Source Coding
MTHE 478,Topics in Communication Theory
MTHE 484,Data Networks
MTHE 454,Statistical Spectrum Estimation
MTHE 455,Stochastic Processes and Applications
ELEC 353,Electronics II
ELEC 421,Digital Signal Processing: Filters and System Design
ELEC 431,Power Electronics
ELEC 448,Introduction to Robotics: Mechanics and Control
MECH 456,Introduction to Robotics
ELEC 454,Analog Electronics
ELEC 457,Integrated Circuits and System Applications
ELEC 461,Digital Communications
ELEC 464,Wireless Communications
ELEC 483,Microwave and RF Circuits and Systems
ELEC 486,Fiber Optic Communications
MECH 452,Mechatronics Engineering
APSC 200,Engineering Design and Practice II
APSC 293,Engineering Communications
MTHE 217,Algebraic Structures with Applications
MTHE 237,Differential Equations and Computer Methods
MTHE 280,Advanced Calculus
MTHE 281,Introduction to Real Analysis
MTHE 212,Linear Algebra
MTHE 326,Functions of a Complex Variable
MTHE 332,Introduction to Control
MTHE 334,Mathematical Methods for Engineering and Physics
MTHE 335,Mathematics of Engineering Systems
MTHE 393,Engineering Design and Practice for Mathematics and Engineering
APSC 221,Economics and Business Practices in Engineering
MTHE 494,Mathematics and Engineering Seminar
MTHE 493,Engineering Mathematics Project
ELEC 221,Electric Circuits
ELEC 271,Digital Systems
ELEC 293,Electrical and Computer Engineering Laboratory I
ELEC 252,Electronics I
ELEC 274,Computer Architecture
ELEC 294,Electrical and Computer Engineering Laboratory II
ENPH 239,Electricity and Magnetism
ELEC 278,Fundamentals of Information Structures
ELEC 371,Microprocessor Interfacing and Embedded Systems
MTHE 351,Probability I
CMPE 212,Introduction to Computing Science II
MTHE 353,Probability II
MTHE 474,Information Theory
MTHE 455,Stochastic Processes and Applications
CMPE 365,Algorithms I
MTHE 477,Data Compression and Source Coding
MTHE 406,Introduction to Coding Theory
MTHE 418,Number Theory and Cryptography
MTHE 430,Modern Control Theory
MTHE 434,Optimization Theory and Application
MTHE 472,Control of Stochastic Systems
MTHE 478,Topics in Communication Theory
MTHE 484,Data Networks
MTHE 454,Statistical Spectrum Estimation
CMPE 332,Database Management Systems
CMPE 333,Introduction to Data Mining
CMPE 434,Distributed Systems
CMPE 454,Computer Graphics
CMPE 457,Image Processing and Computer Vision
ELEC 374,Digital Systems Engineering
ELEC 377,Operating Systems
ELEC 421,Digital Signal Processing: Filters and System Design
ELEC 422,Digital Signal Processing: Random Models and Applications
ELEC 461,Digital Communications
ELEC 464,Wireless Communications
ELEC 470,Computer System Architecture
ELEC 471,Computer Networks I
ELEC 476,Modelling and Systems Simulation
ELEC 478,Computer Networks II
SOFT 437,Performance Analysis
APSC 200,Engineering Design and Practice II
APSC 293,Engineering Communications
MTHE 217,Algebraic Structures with Applications
MTHE 237,Differential Equations and Computer Methods
MTHE 280,Advanced Calculus
MTHE 281,Introduction to Real Analysis
MTHE 212,Linear Algebra
MTHE 326,Functions of a Complex Variable
MTHE 332,Introduction to Control
MTHE 334,Mathematical Methods for Engineering and Physics
MTHE 335,Mathematics of Engineering Systems
MTHE 393,Engineering Design and Practice for Mathematics and Engineering
APSC 221,Economics and Business Practices in Engineering
MTHE 494,Mathematics and Engineering Seminar
MTHE 493,Engineering Mathematics Project
CIVL 220,Statics and Solid Mechanics
MECH 230,Thermodynamics I
ENPH 252,Management of Experimental Data
ELEC 210,Introductory Electric Circuits and Machines
MECH 228,Kinematics and Dynamics
MECH 241,Fluid Mechanics I
MECH 321,Solid Mechanics II
MECH 328,Dynamics and Vibration
MECH 330,Applied Thermodynamics II
MECH 398,Mechanical Engineering Laboratory I
MECH 323,Machine Design
MECH 341,Fluid Mechanics II
MECH 399,Mechanical Engineering Laboratory II
MTHE 430,Modern Control Theory
MTHE 351,Probability I
MTHE�439,"Lagrangian Mechanics, Dynamics, and Control"
MTHE 353,Probability II
MTHE 406,Introduction to Coding Theory
MTHE 418,Number Theory and Cryptography
MTHE 434,Optimization Theory and Application
MTHE 472,Control of Stochastic Systems
MECH 346,Heat Transfer
MECH 420,Vibrations
MECH 424,Sustainable Product Design
MECH 435,Internal Combustion Engines
MECH 439,Turbomachinery
MECH 441,Fluid Mechanics III
MECH 444,Computational Fluid Dynamics
MECH 448,Compressible Fluid Flow
MECH 452,Mechatronics Engineering
MECH 455,Computer Integrated Manufacturing
MECH 456,Introduction to Robotics
ELEC 448,Introduction to Robotics:� Mechanics and Control
MECH 465,Computer-Aided Design
MECH 480,Airplane Aerodynamics and Performance
MECH 482,Noise Control
MECH 492,Biofluids
MECH 494,Kinematics of Human Motion
MECH 495,Ergonomics and Design
MECH 496,Musculoskeletal Biomechanics
ELEC 310,Introductory Analog Electronic and Digital Circuits
APSC 200,Engineering Design and Practice II
APSC 293,Engineering Communications
ELEC 221,Electric Circuits
ELEC 278,Fundamentals of Information Structures an Software Engineering
ELEC 271,Digital Systems
MTHE 235,Differential Equations for Electrical and Computer Engineers
CMPE 212,Introduction to Computing Science II
ELEC 252,Electronics I
ELEC 270,Discrete Mathematics with Computer Engineering Applications
ELEC 274,Computer Architecture
ELEC 280,Fundamentals of Electromagnetics
ELEC 299,Mechatronics Project
ELEC 371,Microprocessor Interfacing and Embedded Systems
ELEC 377,Operating Systems
APSC 221,Economic and Business Practices in Engineering
ELEC 326,Probability and Random Processes
ELEC 374,Digital Systems Engineering
ELEC 390,Electrical and Computer Engineering Design
CMPE 223,Software Specifications
CMPE 320,Fundamentals of Software Development
ELEC 498,Computer Engineering Project
ELEC 273,Numerical Methods and Optimization
ELEC 323,Continuous-Time Signals and Systems
ELEC 324,Discrete-Time Signals and Systems
ELEC 344,Sensors and Actuators
ELEC 353,Electronics II
ELEC 408,Biomedical Signal and Image Processing
ELEC 409,Bioinformatic Analytics
ELEC 421,Digital Signal Processing: Filters and System Design
ELEC 422,Digital Signal Processing: Random Models and Applications
ELEC 431,Power Electronics
ELEC 443,Linear Control Systems�
ELEC 444,Modelling and Computer Control of Mechatronic Systems
ELEC 448,Introduction to Robotics: Mechanics & Control or
MECH 456,Introduction to Robotics
ELEC 451,Digital Integrated Circuit Engineering
ELEC 454,Analog Electronics
ELEC 457,Analog Integrated Circuits and System Applications
ELEC 461,Digital Communications
ELEC 464,Wireless Communications
ELEC 470,Computer System Architecture
ELEC 471,Computer Networks I
ELEC 474,Machine Vision
ELEC 476,Modelling and Systems Simulation
ELEC 478,Computer Networks II
ELEC 497,Research Project
ENPH 336,Solid State Devices
APSC 381,Advanced Design and Skills for Innovation
APSC 400,"Technology, Engineering and Management (TEAM)"
APSC 480,Multi-disciplinary Industry Engineering Design Project
CMPE 327,Software Quality Assurance (Also designated as CISC 327)
CMPE 434,Distributed Systems
CMPE 457,Image Processing and Computer Vision
CMPE 458,Programming Language Processors
SOFT 437,Performance Analysis (Also designated as CISC 437)
CMPE 204,Logic for Computing Science
CMPE 322,Software Architecture
CMPE 325,Human Computer Interaction (Also designated as CISC 325)
CMPE 326,Game Architecture
CMPE 332,Database Management Systems
CMPE 333,Introduction to Data Mining
CMPE 365,Algorithms I
CMPE 422,Formal Methods in Software Engineering
CMPE 423,Software Requirements (Also designated as CISC 423)
CMPE 425,Advanced User Interface Design (Also designated as CISC 425)
CMPE 432,Advanced Database Systems
CMPE 454,Computer Graphics
CHEE 209,Analysis of Process Data
CHEE 221,Chemical Processes and Systems
CHEE 224,Transport Phenomena Fundamentals
ENCH 211,Main Group Chemistry
ENCH 212,Principles of Chemical Reactivity
MTHE 225,Ordinary Differential Equations
APSC 200,Engineering Design and Practice II
APSC 293,Engineering Communications
CHEE 210,Thermodynamic Properties of Fluids
CHEE 218,Laboratory Projects I
CHEE 222,Process Dynamics and Numerical Methods
CHEE 223,Fluid Mechanics
ENCH 245,Applied Organic Chemistry I
CHEE 310,Fundamentals of Engineering Innovation and Entrepreneurship
CHEE 311,Fluid Phase and Reaction Equilibrium
CHEE 315,Laboratory Projects II
CHEE 321,Chemical Reaction Engineering
CHEE 330,Heat and Mass Transfer
CHEE 380,Biochemical Engineering
CHEE 319,Process Dynamics and Control
CHEE 323,Industrial Catalysis
CHEE 331,Design of Unit Operations
CHEE 360,Technical Communications
CHEE 370���,Waste Treatment Processes
CHEE 418,Strategies for Process Investigations
CHEE 470,Design of Manufacturing Processes
CHEE 412,Transport Phenomena in Chemical Engineering
APSC 400,"Technology, Engineering and Management (TEAM)"
APSC 480,Multi-disciplinary Industry Engineering Design Project
CHEE 421,Research Project
CHEE 420,Laboratory Projects III
CHEE 340,Biomedical Engineering
CHEE 440,Pharmaceutical Technology
CHEE 450,Engineering Biology
MECH 478,Biomaterials
MECH 492,Biofluids
CHEE 461,Electrochemical Engineering
GEOE 418,Petroleum Geology
MDEP 437,Fuel Cell Technology
MECH 430,Thermal Systems Design
MECH 435,Internal Combustion Engines
MECH 439,Turbomachinery
APSC 381,Advanced Design and Skills for Innovation
CHEE 342,Environmental Biotechnology
CHEE 481,Air Quality Management
CHEE 484,Bioremediation
CIVL 371,Groundwater Engineering
CIVL 451,"Lake, Reservoir and Coastal Engineering"
CIVL 471,Subsurface Contamination
GEOE 343,Applied Hydrogeology
MECH 424,Sustainable Product Design
MECH 483,Nuclear Materials
CHEE 323,Industrial Catalysis
CHEE 324,Organic Process Development
CHEE 460,Applied Surface and Colloid Science
CHEE 490,Polymer Formulations and Processing Technology
MECH 270,Materials Science and Engineering
MECH 370,Principals of Materials Processing
MECH 371,Fracture Mechanics and Dislocation Theory
MECH 476,Engineering of Polymers and Composite Materials
MECH 478,Biomaterials
MINE 267,Applied Chemistry for Mining
MINE 331,Methods for Mineral Separation
MINE 451,Chemical Extraction of Metals
CHEE 434,Process Control II
CHEE 436,Systems Identification
MECH 444,Computational Fluid Dynamics
CHEE 421,Research Project
MECH 393,Biomechanical Product Development
MECH 480,Airplane Aerodynamics and Performance
ENCH 213,Introduction to Chemical Analysis
ENCH 222,Methods of Structure Determination
ENCH 311,Mechanistic Organic Chemistry
ENCH 312,Transition Metal Chemistry
ENCH 326,Environmental and Green Chemistry
ENCH 411,Advanced Analytical Chemistry
ENCH 422,Synthetic Organic Chemistry
ENCH 424,Polymer Chemistry
MTHE 339,Evolution Game Theory
MTHE 434,Optimization Theory and Applications
BIOL 102,Introductory Biology Cells
BIOL 103,Introduction Biology of Organisms
BIOM 300,Modeling Techniques in Biology
CHEE 229,Cell Based Engineering Principles
GEOE 238,"Surficial Processes, Sedimentation and Stratigraphy"
CHEE 209,Analysis of Process Data
CHEE 221,Chemical Processes and Systems
CHEE 229,Cell Based Engineering Principles
ENCH 211,Main Group Chemistry
ENCH 212,Principles of Chemical Reactivity
MTHE 225,Ordinary Differential Equations
APSC 200,Engineering Design and Practice II
APSC 293,Engineering Communications
CHEE 210,Thermodynamic Properties of Fluids
CHEE 218,Laboratory Projects I
CHEE 222,Process Dynamics and Numerical Methods
CHEE 223,Fluid Mechanics
ENCH 245,Applied Organic Chemistry I
CHEE 310,Fundamentals of Engineering Innovation and Entrepreneurship
CHEE 311,Fluid Phase and Reaction Equilibrium
CHEE 321,Chemical Reaction Engineering
CHEE 330,Heat and Mass Transfer
CHEE 342,Environmental Biotechnology1
CHEE 380,Biochemical Engineering
CHEE 315,Laboratory Projects II
CHEE 319,Process Dynamics and Control
CHEE 332,Design and Scale up of Unit Operations
CHEE 340,Biomedical Engineering
CHEE 360,Technical Communications
CHEE 370,Waste Treatment Processes
CHEE 418,Strategies for Process Investigations
CHEE 452,Transport Phenomena in Physiological Systems
CHEE 470,Design of Manufacturing Processes
APSC 400,"Technology, Engineering and Management (TEAM)"
APSC 480,Multi-disciplinary Industry Engineering Design Project
CHEE 408,Bioengineering Research Project
CHEE 340,Biomedical Engineering
CHEE 440,Pharmaceutical Technology
CHEE 450,Engineering Biology
MECH 478,Biomaterials
MECH 492,Biofluids
CHEE 461,Electrochemical Engineering
GEOE 418,Petroleum Geology
MDEP 437,Fuel Cell Technology
MECH 430,Thermal Systems Design
MECH 435,Internal Combustion Engines
MECH 439,Turbomachinery
APSC 381,Advanced Design and Skills for Innovation
CHEE 342,Environmental Biotechnology
CHEE 481,Air Quality Management
CHEE 484,Bioremediation
CIVL 371,Groundwater Engineering
CIVL 451,"Lake, Reservoir and Coastal Engineering"
CIVL 471,Subsurface Contamination
GEOE 343,Applied Hydrogeology
MECH 424,Sustainable Product Design
MECH 483,Nuclear Materials
CHEE 323,Industrial Catalysis
CHEE 324,Organic Process Development
CHEE 460,Applied Surface and Colloid Science
CHEE 490,Polymer Formulations and Processing Technology
MECH 270,Materials Science and Engineering
MECH 370,Principals of Materials Processing
MECH 371,Fracture Mechanics and Dislocation Theory
MECH 476,Engineering of Polymers and Composite Materials
MECH 478,Biomaterials
MINE 267,Applied Chemistry for Mining
MINE 331,Methods for Mineral Separation
MINE 451,Chemical Extraction of Metals
CHEE 434,Process Control II
CHEE 436,Systems Identification
MECH 444,Computational Fluid Dynamics
CHEE 421,Research Project
MECH 393,Biomechanical Product Development
MECH 480,Airplane Aerodynamics and Performance
BCHM 315,Proteins and Enzymes
BIOL 102,Introductory Biology of Cells
BIOL 103,Introduction Biology of Organisms
BIOL 205,Mendelian and Molecular Genetics
BIOL 335,Limnology and Aquatic Ecology
BIOM 300,Modeling Techniques in Biology
CHEE 440,Pharmaceutical Technology
CHEE 484,Bioremediation
CIVL 371,Groundwater Engineering
CIVL 451,"Lake, Reservoir and Coastal Engineering"
CIVL 471,Subsurface Contamination
ELEC 408,Biomedical Signal & Image Processing
ENCH 213,Introduction to Chemical Analysis
ENCH 323,Biological Chemistry
ENCH 326,Environmental and Green Chemistry
GEOE 281,Gene Structure & Function (Molecular Biology)
MBIO 218,Gene Structure and Function (Molecular Biology)
MECH 393,Biomechanical Product Development
MECH 424,Sustainable Product Design
MECH 478,Biomaterials
MECH 483,Nuclear Materials
MECH 492,Biofluids
MTHE 434,Optimization Theory and Applications
APSC 200,Engineering Design and Practice II
APSC 293,Engineering Communications
CIVL 200,Civil Week I: Professional Skills
CIVL 210,Chemistry for Civil Engineers
CIVL 230,Solid Mechanics I
MTHE 224,Applied Mathematics for Civil Engineers
,Complementary Studies- Humanities & Social Sciences List A
APSC 221,Economic and Business Practices in Engineering
CIVL 215,Materials for Civil Engineers
CIVL 222,Numerical Methods for Civil Engineers
CIVL 231,Solid Mechanics II
CIVL 250,Hydraulics I
CIVL 300,Civil Week II: Professional Skills
CIVL 330,Structural Analysis
CIVL 340,Geotechnical Engineering I
CIVL 350,Hydraulics II
CIVL 371,Groundwater Engineering
CIVL 331,Structural Steel Design
CIVL 341,Geotechnical Engineering II
CIVL 360,Civil Engineering Design & Practice III
CIVL 372,Water & Wastewater Engineering
,Management Elective
CIVL 400,Civil Week III: Professional Skills
CIVL 460,Civil Engineering Design and Practice IV
CIVL 430,Reinforced Concrete Design
CIVL 442,Geotechnical Design
CIVL 450,Municipal Hydraulics
CIVL 451,"Lake, Reservoirs & Coastal Engineering"
CIVL 473,Water Resources Systems
CIVL 431,Infrastructure Rehabilitation
CIVL 436,Prestressed Concrete
CIVL 443,Geoenvironmental Design
CIVL 455,River Engineering
CIVL 471,Subsurface Contamination
CIVL 500,Civil Engineering Thesis
APSC 381,Advanced Design & Skills for Innovation
APSC 480,Multi-disciplinary Industry Engineering Design Project
MECH 333,"Gender, Engineering and Technology"
MECH 371,Fracture Mechanics and Dislocation Theory
MECH 441,Fluid Mechanics III
MECH 444,Computational Fluid Dynamics
CHEE 484,Bioremediation
CHEE 481,Air Quality Management
CHEE 342,Environmental Biotechnology
MINE 462,Occupational Health and Safety in Mining Practice
SURP 853,Environmental Services
SURP 856,Environmental Assessment
APSC 200,Engineering Design and Practice II
APSC 293,Engineering Communications
ELEC 221,Electric Circuits
ELEC 271,Digital Systems
ELEC 278,Fundamentals of Information Structures and Software Engineering
MTHE 235,Differential Equations for Electrical & Computer Engineers
ELEC 252,Electronics I
ELEC 273,Numerical Methods and Optimization
ELEC 274,Computer Architecture
ELEC 280,Fundamentals of Electromagnetics
ELEC 299,Mechatronics Project
MTHE 228,Complex Analysis���
ELEC 323,Continuous-Time Signals and Systems
ELEC 353,Electronics II
ELEC 371,Microprocessor Interfacing and Embedded Systems
ELEC 381,Applications of Electromagnetics
APSC 221,Economic and Business Practices in Engineering
ELEC 324,Discrete-Time Signals and Systems
ELEC 326,Probability and Random Processes
ELEC 390,Electrical and Computer Engineering Design
ENPH 336,Solid State Devices
ELEC 490,Electrical Engineering Project
CMPE 212,Introduction to Computing Science II
ELEC 333,Electric Machines
ELEC 344,Sensors and Actuators
ELEC 408,Biomedical Signal and Image Processing
ELEC 409,Bioinformatic Analytics
ELEC 421,Digital Signal Processing: Filters and System Design
ELEC 422,Digital Signal Processing: Random Models and Applications
ELEC 431,Power Electronics
ELEC 433,Energy and Power Systems
ELEC 436,Electric Machines and Control
ELEC 443,Linear Control Systems
ELEC 444,Modeling and Computer Control of Mechatronic Systems
ELEC 448,Introduction to Robotics: Mechanics and Control
MECH 456,Introduction to Robotics
ELEC 451,Digital Integrated Circuit Engineering
ELEC 454,Analog Electronics
ELEC 457,Analog Integrated Circuits and System Applications
ELEC 461,Digital Communications
ELEC 464,Wireless Communications
ELEC 470,Computer System Architecture
ELEC 471,Computer Networks I
ELEC 474,Machine Vision
ELEC 476,Modelling and Systems Simulation
ELEC 478,Computer Networks II
ELEC 483,Microwave and RF Circuits and Systems
ELEC 486,Fiber Optic Communications
ELEC 497,Research Project
APSC 381,Advanced Design and Skills for Innovation
APSC 400,"Technology, Engineering and Management (TEAM)"
APSC 480,Multi-disciplinary Industry Engineering Design Project
CHEE 436,System Identification
