CourseCode,CourseName
MECH 448,Compressible Fluid Flow
MECH 452,Mechatronics Engineering
MECH 455,Computer Integrated�Manufacturing
MECH 456,Introduction to Robotics
MECH 458,Machine Condition Monitoring and Fault Diagnostics
MECH 461,Research Project
MECH 462,Team Project - Implement and Operate (Option core to ME3)
MECH 465,Computer-Aided Design
MECH 480,Airplane Aerodynamics and Performance
MECH �481,Wind Energy
MECH 482,Noise Control
MECH 461,Research Project
MECH 470,Deformation Processing
MECH 476,Engineering of Polymers and Composite Materials
MECH 478,Biomaterials
MECH 479,Nano-Structured Materials
MECH 483,Nuclear Materials
MECH 484,Introduction to Ceramics
MECH 461,Research Project
CHEE 380,Biochemical Engineering
CHEE 440,Pharmaceutical Technology
CHEE 450,Engineering Biology
CHEE 484,Bioremediation
ELEC 408,Biomedical Signal and Image Processing
MECH 465,Computer-Aided Design
MECH 478,Biomaterials
MECH 492,Biofluids
MECH 494,Kinematics of Human Motion
MECH 495,Ergonomics and Design
MECH 496,Musculoskeletal Biomechanics
ANAT 100,Anatomy of the Human Body
CHEE 342,Environmental Biotechnology
CHEE 370,Waste Treatment Processes
CHEE 412,Transport Phenomena in Chemical Engineering
CHEE 461,Electrochemical Engineering
CIVL 371,Environmental Engineering 2
CIVL 372,Water and Wastewater Engineering
CIVL 471,Subsurface Contamination
CIVL 473,Water Resources Systems
ELEC 271,Digital Systems
ELEC 274,Computer Architecture
ELEC 371,Microprocessor Systems
MTHE 212,Linear Algebra
MTHE 337,Introduction to Operations Research Models
MTHE 338,Topics in Applied Mathematics
MTHE 434,Optimization Theory and Applications
MTHE 472,Control of Stochastic Systems
MINE 459,"Reliability, Maintenance and Risk Assessment"
ENPH 491,Physics of Nuclear Reactors
MECH 370,Principles of Materials Processing
MECH 396,Materials Engineering Laboratory I
MECH 371,Fracture Mechanics and Dislocation Theory
MECH 397,Materials Engineering Laboratory II
MECH 460,Team Project - Conceive and Design
MECH 464,Communications and Project Management
MECH 221,Statics and Solid Mechanics
MTHE 225,Ordinary Differential Equations
MECH 213,Manufacturing Methods
MECH 230,Thermodynamics I
MECH 215,Instrumentation and Measurement
MECH 270,Materials Science and Engineering
APSC 200,Engineering Design and Practice II
APSC 293,Engineering Communications
ELEC 210,Introductory Electric Circuits and Machines
MTHE 272,Application of Numerical Methods
MECH 216,Instrumentation and Measurement Labs
MECH 228,Kinematics and Dynamics
MECH 241,Fluid Mechanics I
APSC 221,Economics and Business Practices in Engineering
MECH 321,Solid Mechanics II
MECH 328,Dynamics and Vibration
ELEC 310,Introductory Analog Electronic and Digital Circuits
MECH 323,Machine Design
MECH 346,Heat Transfer
MECH 350,Automatic Controls
MTHE 367,Engineering Data Analysis
APSC 381,Advanced Design and Skills for Innovation (Must typically be taken in 3rd�year if students choose to take APSC 480 as their final year project.
APSC 400,"Technology, Engineering and Management (TEAM)"
CHEE 340,Biomedical Engineering�
CHEE 490,Polymer Science and Process Technology
ELEC 280,Fundamentals of Electromagnetics
ELEC 333,Electric Machines
MDEP 437,Fuel Cell Technology
MECH 330,Applied Thermodynamics II
MECH 341,Fluid Mechanics II
MECH 361,"Project Based Engineering: Conceive, Design, Implement and Operate"
MECH 370,Principles of Materials Processing
MECH 371,Fracture Mechanics and Dislocation Theory
MECH 393,Biomechanical Product Development
MECH 420,Vibrations
MECH 423,Introduction to Microsystems
MECH 424,Sustainable Product Design
MECH 430,Thermal Systems Design
MECH 435,Internal Combustion Engines
MECH 439,Turbomachinery
MECH 441,Fluid Mechanics III
MECH 444,Computational Fluid Dynamics
MECH 448,Compressible Fluid Flow
MECH 452,Mechatronics Engineering
MECH 455,Computer Integrated�Manufacturing
MECH 456,Introduction to Robotics
MECH 458,Machine Condition Monitoring and Fault Diagnostics
MECH 461,Research Project
MECH 462,Team Project - Implement and Operate (Option core to ME3)
MECH 465,Computer-Aided Design
MECH 480,Airplane Aerodynamics and Performance
MECH �481,Wind Energy
MECH 482,Noise Control
MECH 461,Research Project
MECH 470,Deformation Processing
MECH 476,Engineering of Polymers and Composite Materials
MECH 478,Biomaterials
MECH 479,Nano-Structured Materials
MECH 483,Nuclear Materials
MECH 484,Introduction to Ceramics
MECH 461,Research Project
CHEE 380,Biochemical Engineering
CHEE 440,Pharmaceutical Technology
CHEE 450,Engineering Biology
CHEE 484,Bioremediation
ELEC 408,Biomedical Signal and Image Processing
MECH 465,Computer-Aided Design
MECH 478,Biomaterials
MECH 492,Biofluids
MECH 494,Kinematics of Human Motion
MECH 495,Ergonomics and Design
MECH 496,Musculoskeletal Biomechanics
ANAT 100,Anatomy of the Human Body
CHEE 342,Environmental Biotechnology
CHEE 370,Waste Treatment Processes
CHEE 412,Transport Phenomena in Chemical Engineering
CHEE 461,Electrochemical Engineering
CIVL 371,Environmental Engineering 2
CIVL 372,Water and Wastewater Engineering
CIVL 471,Subsurface Contamination
CIVL 473,Water Resources Systems
ELEC 271,Digital Systems
ELEC 274,Computer Architecture
ELEC 371,Microprocessor Systems
MTHE 212,Linear Algebra
MTHE 337,Introduction to Operations Research Models
MTHE 338,Topics in Applied Mathematics
MTHE 434,Optimization Theory and Applications
MTHE 472,Control of Stochastic Systems
MINE 459,"Reliability, Maintenance and Risk Assessment"
ENPH 491,Physics of Nuclear Reactors
CHEE 340,Biomedical Engineering
MECH 396�,Materials Engineering Laboratory I
MECH 398,Mechanical Engineering Laboratory I
MECH 393,Biomechanical Product Development
MECH 397,Materials Engineering Laboratory II
MECH 460,Team Project - Conceive and Design
MECH 462,Team Project - Implement and Operate
MECH 464,Communications and Project Management
 MECH 399,Mechanical Engineering Laboratory II
APSC 200,Engineering Design and Practice II
APSC 293,Engineering Communications
CIVL 230,Introduction�to Solid Mechanics�
MINE 201,Introduction to Mining and Mineral Processing
MINE 202,Computer Applications and Instrumentation in Mining
MTHE 225,Ordinary Differential Equations
APSC 221,Economics and Business Practices in Engineering
ELEC 210,Introductory Electric Circuits and Machines
MINE 244,Underground Mining
MTHE 272,Application of Numerical Methods
MINE 321,Drilling and Blasting
MINE 331,Methods of Mineral Separation
MINE 341,Open Pit Mining
GEOE 262,Geological Aspects of Mineral Deposits
MINE 324,Hydraulics for Mining Applications
MINE 325,Applied Rock Mechanics
MINE 326,Operations Research
MINE 422,Mining and Sustainability
MINE 459,"Reliability, Maintenance, and Risk Assessment"
MINE 462,Occupational Health and Safety in Mining Practice
MINE 434,Project Report��
ECON 239,Economic Development
ECON 240,Canadian Tax Policy
ECON 261,Canadian Labour Relations
ECON 290,Environmental Economics and Assessment
ELEC 221,Electric Circuits
ELEC 252,Electronics I
ELEC 270,Discrete Mathematics with Computer Engineering Applications
ELEC 271,Digital Systems
ELEC 274,Computer Architecture
ELEC 278,Fundamentals of Information Structures
ELEC 280,Fundamentals of Electromagnetics
ELEC 333,Electric Machines
ELEC 431,Power Electronics
ENSC 201,Environmental Toxicology and Chemical Risks
ENSC 301,Environmental Assessment
ENSC 305,Social Environments
ENSC 321,Environmental Justice in Global Context
ENSC 390,Sustainability
GEOE 221,Geological Engineering Field Methods
GEOE 232,Mineralogy
GEOE 249,Geophysical Characterization of the Earth
GEOE 319,Applied Geophysics
GEOE 333,Terrain Evaluation
GEOE 343,Applied Hydrogeology
GEOE 365,Geochemical Characterization of the Earth
GEOE 463,Methods of Geological Data Analysis
GEOE 475,Exploration and Environmental Geochemistry
GEOE 481,Structural Analysis Applied to Resource Deposits
GPHY 242,Remote Sensing I: Image Interpretation and Measurement
GPHY 243,Geographic Information Science
GPHY 304,Arctic and Periglacial Environments
GPHY 312,Watershed Hydrology
GPHY 342,Remote Sensing II: Digital Image Processing
GPHY 345,Spatial Analysis
GPHY 346,Environmental Modeling
GPHY 351,Aboriginal Geographies of Canada
MECH 213,Manufacturing Methods
MECH 270,Materials Science and Engineering
MECH 323,Machine Design
MECH 370,Principles of Materials Processing
MECH 435,Internal Combustion Engines
MECH 456,Introduction to Robotics
MECH 458,Machine Condition Monitoring and Fault Diagnostics
MECH 465,Computer-Aided Design
MECH 495,Ergonomics and Design
CHEE 310,Fundamentals of Engineering Innovation and Entrepreneurship
CHEE 323,Industrial Catalysis
CHEE 330,Heat and Mass Transfer
CHEE 342,Environmental Biotechnology
CHEE 370,Waste Treatment Processes
CHEE 380,Biochemical Engineering
CHEE 412,Transport Phenomena in Chemical Engineering
CHEE 418,Strategies for Process Investigations
CHEE 434,Process Control II
CHEE 460,Applied Surface and Colloid Science
CHEE 461,Electrochemical Engineering
CHEE 481,Air Quality Management
CHEE 484,Bioremediation
COMM 200,Introduction to Business
COMM 211,Introduction to Financial Accounting
COMM 212,Introduction to Management Accounting
COMM 221,Introduction to Finance
COMM 231,Introduction to Marketing
COMM 251,Organizational Behaviour
COMM 305,Introduction to Entrepreneurship
COMM 310,Environmental Accounting
COMM 311,"Financial Accounting Practices, Principles and Concepts"
COMM 322,Financial Management: Strategy
COMM 323,Corporate Financial Planning
COMM 324,Investment and Portfolio Management
COMM 325,Financial Modelling
COMM 328,International Finance
COMM 351,Leadership
COMM 353,Managing Across Cultures
COMM 357,Interpersonal Skills for Managers
COMM 359,Power and Organizational Politics
COMM 375,International Business
COMM 381,Business Law I
COMM 382,Business Law II
COMM 408,Sustainability Strategies and Practices
COMM 409,"Sustainability Measurement, Implementation and Evaluation"
COMM 495,Project Management
CIVL 215,Materials for Civil Engineers
CIVL 340,Geotechnical Engineering I
CIVL 341,Geotechnical Engineering II
CIVL 371,Groundwater Engineering
CIVL 471,Subsurface Contamination
ECON 110,Principles of Economics
ECON 111,Introductory Microeconomics
ECON 112,Introductory Macroeconomics
MECH 230,Thermodynamics I��
MINE 267,Applied Chemistry for Mining
MINE 268,Analytical Methods in Mining
MTHE 367,Engineering Data Analysis
MINE 339,Mine Ventilation
MINE 330,�Mineral Industry Economics
MINE 467,Geostatistics and Orebody Modelling ������������
MINE 469,Stability Analysis in Mine Design��
MINE 445,Open Pit Mine Design
MINE 448,Underground Design
APSC 200,Engineering Design and Practice II
APSC 293,Engineering Communications
CIVL 230,Introduction�to Solid Mechanics�
MINE 201,Introduction to Mining and Mineral Processing
MINE 202,Computer Applications and Instrumentation in Mining
MTHE 225,Ordinary Differential Equations
APSC 221,Economics and Business Practices in Engineering
ELEC 210,Introductory Electric Circuits and Machines
MINE 244,Underground Mining
MTHE 272,Application of Numerical Methods
MINE 321,Drilling and Blasting
MINE 331,Methods of Mineral Separation
MINE 341,Open Pit Mining
GEOE 262,Geological Aspects of Mineral Deposits
MINE 324,Hydraulics for Mining Applications
MINE 325,Applied Rock Mechanics
MINE 326,Operations Research
MINE 422,Mining and Sustainability
MINE 459,"Reliability, Maintenance, and Risk Assessment"
MINE 462,Occupational Health and Safety in Mining Practice
MINE 434,Project Report��
ECON 239,Economic Development
ECON 240,Canadian Tax Policy
ECON 261,Canadian Labour Relations
ECON 290,Environmental Economics and Assessment
ELEC 221,Electric Circuits
ELEC 252,Electronics I
ELEC 270,Discrete Mathematics with Computer Engineering Applications
ELEC 271,Digital Systems
ELEC 274,Computer Architecture
ELEC 278,Fundamentals of Information Structures
ELEC 280,Fundamentals of Electromagnetics
ELEC 333,Electric Machines
ELEC 431,Power Electronics
ENSC 201,Environmental Toxicology and Chemical Risks
ENSC 301,Environmental Assessment
ENSC 305,Social Environments
ENSC 321,Environmental Justice in Global Context
ENSC 390,Sustainability
GEOE 221,Geological Engineering Field Methods
GEOE 232,Mineralogy
GEOE 249,Geophysical Characterization of the Earth
GEOE 319,Applied Geophysics
GEOE 333,Terrain Evaluation
GEOE 343,Applied Hydrogeology
GEOE 365,Geochemical Characterization of the Earth
GEOE 463,Methods of Geological Data Analysis
GEOE 475,Exploration and Environmental Geochemistry
GEOE 481,Structural Analysis Applied to Resource Deposits
GPHY 242,Remote Sensing I: Image Interpretation and Measurement
GPHY 243,Geographic Information Science
GPHY 304,Arctic and Periglacial Environments
GPHY 312,Watershed Hydrology
GPHY 342,Remote Sensing II: Digital Image Processing
GPHY 345,Spatial Analysis
GPHY 346,Environmental Modeling
GPHY 351,Aboriginal Geographies of Canada
MECH 213,Manufacturing Methods
MECH 270,Materials Science and Engineering
MECH 323,Machine Design
MECH 370,Principles of Materials Processing
MECH 435,Internal Combustion Engines
MECH 456,Introduction to Robotics
MECH 458,Machine Condition Monitoring and Fault Diagnostics
MECH 465,Computer-Aided Design
MECH 495,Ergonomics and Design
CHEE 310,Fundamentals of Engineering Innovation and Entrepreneurship
CHEE 323,Industrial Catalysis
CHEE 330,Heat and Mass Transfer
CHEE 342,Environmental Biotechnology
CHEE 370,Waste Treatment Processes
CHEE 380,Biochemical Engineering
CHEE 412,Transport Phenomena in Chemical Engineering
CHEE 418,Strategies for Process Investigations
CHEE 434,Process Control II
CHEE 460,Applied Surface and Colloid Science
CHEE 461,Electrochemical Engineering
CHEE 481,Air Quality Management
CHEE 484,Bioremediation
COMM 200,Introduction to Business
COMM 211,Introduction to Financial Accounting
COMM 212,Introduction to Management Accounting
COMM 221,Introduction to Finance
COMM 231,Introduction to Marketing
COMM 251,Organizational Behaviour
COMM 305,Introduction to Entrepreneurship
COMM 310,Environmental Accounting
COMM 311,"Financial Accounting Practices, Principles and Concepts"
COMM 322,Financial Management: Strategy
COMM 323,Corporate Financial Planning
COMM 324,Investment and Portfolio Management
COMM 325,Financial Modelling
COMM 328,International Finance
COMM 351,Leadership
COMM 353,Managing Across Cultures
COMM 357,Interpersonal Skills for Managers
COMM 359,Power and Organizational Politics
COMM 375,International Business
COMM 381,Business Law I
COMM 382,Business Law II
COMM 408,Sustainability Strategies and Practices
COMM 409,"Sustainability Measurement, Implementation and Evaluation"
COMM 495,Project Management
CIVL 215,Materials for Civil Engineers
CIVL 340,Geotechnical Engineering I
CIVL 341,Geotechnical Engineering II
CIVL 371,Groundwater Engineering
CIVL 471,Subsurface Contamination
ECON 110,Principles of Economics
ECON 111,Introductory Microeconomics
ECON 112,Introductory Macroeconomics
CHEE 209,Analysis of Process Data
CHEE 210,Thermodynamic Properties of Fluids
MINE 267,Applied Chemistry for Mining
MINE 268,Analytical Methods in Mining
CHEE 321��,Chemical Reaction Engineering��
CHEE 319,Process Dynamics and Control
MINE 330,�Mineral Industry Economics
MINE 451,Chemical Extraction of Metals�
MINE 455,"Design, Analysis and Operation of Mineral Processes"
MINE 458,Process Investigation�
APSC 200,Engineering Design and Practice II
APSC 293,Engineering Communications
CIVL 230,Introduction�to Solid Mechanics�
MINE 201,Introduction to Mining and Mineral Processing
MINE 202,Computer Applications and Instrumentation in Mining
MTHE 225,Ordinary Differential Equations
APSC 221,Economics and Business Practices in Engineering
ELEC 210,Introductory Electric Circuits and Machines
MINE 244,Underground Mining
MTHE 272,Application of Numerical Methods
MINE 321,Drilling and Blasting
MINE 331,Methods of Mineral Separation
MINE 341,Open Pit Mining
GEOE 262,Geological Aspects of Mineral Deposits
MINE 324,Hydraulics for Mining Applications
MINE 325,Applied Rock Mechanics
MINE 326,Operations Research
MINE 422,Mining and Sustainability
MINE 459,"Reliability, Maintenance, and Risk Assessment"
MINE 462,Occupational Health and Safety in Mining Practice
MINE 434,Project Report��
ECON 239,Economic Development
ECON 240,Canadian Tax Policy
ECON 261,Canadian Labour Relations
ECON 290,Environmental Economics and Assessment
ELEC 221,Electric Circuits
ELEC 252,Electronics I
ELEC 270,Discrete Mathematics with Computer Engineering Applications
ELEC 271,Digital Systems
ELEC 274,Computer Architecture
ELEC 278,Fundamentals of Information Structures
ELEC 280,Fundamentals of Electromagnetics
ELEC 333,Electric Machines
ELEC 431,Power Electronics
ENSC 201,Environmental Toxicology and Chemical Risks
ENSC 301,Environmental Assessment
ENSC 305,Social Environments
ENSC 321,Environmental Justice in Global Context
ENSC 390,Sustainability
GEOE 221,Geological Engineering Field Methods
GEOE 232,Mineralogy
GEOE 249,Geophysical Characterization of the Earth
GEOE 319,Applied Geophysics
GEOE 333,Terrain Evaluation
GEOE 343,Applied Hydrogeology
GEOE 365,Geochemical Characterization of the Earth
GEOE 463,Methods of Geological Data Analysis
GEOE 475,Exploration and Environmental Geochemistry
GEOE 481,Structural Analysis Applied to Resource Deposits
GPHY 242,Remote Sensing I: Image Interpretation and Measurement
GPHY 243,Geographic Information Science
GPHY 304,Arctic and Periglacial Environments
GPHY 312,Watershed Hydrology
GPHY 342,Remote Sensing II: Digital Image Processing
GPHY 345,Spatial Analysis
GPHY 346,Environmental Modeling
GPHY 351,Aboriginal Geographies of Canada
MECH 213,Manufacturing Methods
MECH 270,Materials Science and Engineering
MECH 323,Machine Design
MECH 370,Principles of Materials Processing
MECH 435,Internal Combustion Engines
MECH 456,Introduction to Robotics
MECH 458,Machine Condition Monitoring and Fault Diagnostics
MECH 465,Computer-Aided Design
MECH 495,Ergonomics and Design
CHEE 310,Fundamentals of Engineering Innovation and Entrepreneurship
CHEE 323,Industrial Catalysis
CHEE 330,Heat and Mass Transfer
CHEE 342,Environmental Biotechnology
CHEE 370,Waste Treatment Processes
CHEE 380,Biochemical Engineering
CHEE 412,Transport Phenomena in Chemical Engineering
CHEE 418,Strategies for Process Investigations
CHEE 434,Process Control II
CHEE 460,Applied Surface and Colloid Science
CHEE 461,Electrochemical Engineering
CHEE 481,Air Quality Management
CHEE 484,Bioremediation
COMM 200,Introduction to Business
COMM 211,Introduction to Financial Accounting
COMM 212,Introduction to Management Accounting
COMM 221,Introduction to Finance
COMM 231,Introduction to Marketing
COMM 251,Organizational Behaviour
COMM 305,Introduction to Entrepreneurship
COMM 310,Environmental Accounting
COMM 311,"Financial Accounting Practices, Principles and Concepts"
COMM 322,Financial Management: Strategy
COMM 323,Corporate Financial Planning
COMM 324,Investment and Portfolio Management
COMM 325,Financial Modelling
COMM 328,International Finance
COMM 351,Leadership
COMM 353,Managing Across Cultures
COMM 357,Interpersonal Skills for Managers
COMM 359,Power and Organizational Politics
COMM 375,International Business
COMM 381,Business Law I
COMM 382,Business Law II
COMM 408,Sustainability Strategies and Practices
COMM 409,"Sustainability Measurement, Implementation and Evaluation"
COMM 495,Project Management
CIVL 215,Materials for Civil Engineers
CIVL 340,Geotechnical Engineering I
CIVL 341,Geotechnical Engineering II
CIVL 371,Groundwater Engineering
CIVL 471,Subsurface Contamination
ECON 110,Principles of Economics
ECON 111,Introductory Microeconomics
ECON 112,Introductory Macroeconomics
MECH 230�,Thermodynamics I�
MECH 228,Kinematics and Dynamics
MTHE 367,Engineering Data Analysis
MECH 270,Materials Science and Engineering
MECH 328,Dynamics and Vibration
MECH 323,Machine Design
MECH 350,Automatic Controls
MINE 339,Mine Ventilation
MINE 330,Mineral Industry Economics
MINE 471,Mine-Mechanical Design Project
